# generated at: 2026-05-25 17:39:44.227835
#
#### Overview
# nodes: 100
# cloud clusters: 3
# 	max size: 7
# 	min size: 6
# fog clusters: 24
# 	max size: 5
# 	min size: 2
# nodes with bandwidth specified: 30
# 	cloud: 6
# 	fog: 24
# total CPU cores: 558
# total memory GiB: 1876
# total ingress Mbps: 116278.7586322936
# total egress Mbps: 152340.52580270072
#
#### Used Config
#
# n: 100
# cloud_size_percentage: 20
# fog_size_percentage: 80
# min_max_cloud_cluster_size_percentage: [5, 13]
# min_max_fog_cluster_size_percentage: [2, 5]
# cloud_node_types: ['T4', 'T5', 'T6', 'T7', 'T8', 'T9', 'T10']
# fog_node_types: ['T1', 'T2', 'T3', 'T4']
# base_node_single_core_score: 1000
# min_max_cloud_node_single_core_score: [900, 1800]
# min_max_fog_node_single_core_score: [500, 1200]
# min_max_cluster_node_cost_per_core: [100, 300]
# nodes_with_bandwidth_capacity_percentage: 30
# min_max_ingress_bandwidth_per_core: [10, 1500]
# min_max_egress_bandwidth_per_core: [10, 1500]
# min_max_cloud_uptime_percentage_30_days: [97, 100]
# min_max_fog_uptime_percentage_30_days: [90, 100]
# min_max_intra_cluster_latencies: [2, 5]
# min_max_inter_cluster_latencies: [15, 50]
#
hostname,layer,location,cpu_cores,single_core_score,base_single_core_score,memory_GiB,ingress_bandwidth_Mbps,egress_bandwidth_Mbps,uptime_30d_percentage,cost
0,cloud,cloud-location-0,32,941,1000,128,25811.120706405567,39667.46223089115,98.54182423888629,7135.504784738393
1,cloud,cloud-location-0,8,1174,1000,16,7797.43545233129,11583.218027627077,98.11878798481024,1676.213496045979
2,cloud,cloud-location-0,8,1526,1000,16,6053.620219675343,1097.6484106536523,98.70217280072839,1237.9825379928088
3,cloud,cloud-location-0,4,1302,1000,16,3063.118351513149,4284.645214995309,98.33227498708908,721.0459009569396
4,cloud,cloud-location-0,8,1062,1000,16,8003.053565436549,9467.101295978122,99.33511902043638,1645.034550076469
5,cloud,cloud-location-0,16,1686,1000,64,5499.292738051218,20427.92375060811,98.59989037759684,4113.894388435307
6,cloud,cloud-location-0,8,955,1000,32,5026.286025062105,9928.15519019714,97.8843685569228,2149.376073046678
7,cloud,cloud-location-1,16,1264,1000,64,,,98.44543012199502,3715.761892266748
8,cloud,cloud-location-1,16,1030,1000,32,,,99.4555801196292,2882.3735251570106
9,cloud,cloud-location-1,4,1063,1000,16,,,97.72499556293067,537.5469652757295
10,cloud,cloud-location-1,32,1120,1000,128,,,98.95201181839231,9010.243100564967
11,cloud,cloud-location-1,8,1249,1000,16,,,97.67088210448946,2353.0735885548906
12,cloud,cloud-location-1,32,1084,1000,128,,,98.3912801592471,3954.1105554533688
13,cloud,cloud-location-2,32,991,1000,128,,,98.08841117785987,3453.8457541141215
14,cloud,cloud-location-2,32,1327,1000,128,,,97.9064640668127,5213.894783988879
15,cloud,cloud-location-2,8,1189,1000,16,,,99.26433089883908,1357.4705900556391
16,cloud,cloud-location-2,32,1617,1000,128,,,98.10065196610174,7607.14090776195
17,cloud,cloud-location-2,16,1574,1000,64,,,99.53628339536694,3921.447165492692
18,cloud,cloud-location-2,8,1296,1000,16,,,97.1603602321351,1474.607253595614
19,cloud,cloud-location-2,4,1760,1000,16,,,97.84432726463014,427.59335954518394
20,fog,fog-location-0,4,1185,1000,8,3116.931144928297,4675.318933839631,95.08753390610624,456.5157027626836
21,fog,fog-location-0,2,559,1000,8,614.832116166483,359.84713240998235,95.35065595210608,421.3529262137115
22,fog,fog-location-0,4,643,1000,16,241.40175457580327,455.16323333941114,90.74288875152678,958.1629971717399
23,fog,fog-location-0,2,1181,1000,8,2759.296776548517,1883.3038394764087,90.72855489378975,204.8206789602656
24,fog,fog-location-1,2,956,1000,8,1465.878809793949,897.6358113882915,92.57387082850443,264.2624419017729
25,fog,fog-location-1,2,663,1000,8,489.4800383549733,2841.1625804422206,91.39524422418825,508.9410384197295
26,fog,fog-location-1,4,629,1000,8,1507.81020022468,1231.309540773701,92.1549142600246,1131.3630803832136
27,fog,fog-location-2,2,965,1000,4,164.53175321390714,1283.8626595537046,98.00602668039306,458.74457688095873
28,fog,fog-location-2,2,1092,1000,8,2560.6205704484473,568.1133199248122,91.2245727970062,378.1756930645512
29,fog,fog-location-2,4,1149,1000,8,1879.495219830256,4604.284452645702,97.86025279521411,408.01110642642857
30,fog,fog-location-2,4,839,1000,16,2118.083207774841,5257.4176509683575,90.3604447509096,641.4781768716605
31,fog,fog-location-3,2,976,1000,8,2375.457810015629,1988.5001521613367,99.73476767101442,541.1914070647216
32,fog,fog-location-3,4,833,1000,16,400.07838981615174,937.4662599851629,90.90890740687554,823.3638931717713
