# generated at: 2026-05-25 18:06:24.344907
#
# total pods: 1534
# total workloads: 176
# total requested memory of goal:  55.5%
# total requested CPU of goal: 51.8%
# total requested ingress of goal: 3.7%
# total requested egress of goal: 4.3%
#
# total_cpu_cores: 1634
# total_memory_GB: 4832
# total_ingress: 365822.46972783114
# total_egress: 312524.81307489483
# target_utilization_percent: 60
# number_of_apps: 12
# min_max_api_composition_workloads_top_level: [3, 6]
# min_max_api_composition_call_depth: [3, 7]
# min_max_api_composition_randomly_connected_workloads_percent: 20
# min_max_messaging_workloads_per_app: [3, 7]
# min_max_messaging_call_depth: [0, 1]
# min_max_replication: [3, 12]
# fog_only_workloads_percentage: 10
# cloud_only_workloads_percentage: 10
# uptime_request_workloads_percentage: 10
# min_max_uptime_request_percentage_30_days: [92, 100]
# bandwidth_request_workloads_percentage: 7
# min_max_ingress_bandwidth_request_per_core: [5, 1500]
# min_max_egress_bandwidth_request_per_core: [5, 1500]
# latency_request_workloads_percentage: 10
# max_latency_request_to_neighbors_percentage: 10
# min_max_latency_request_value: [7, 30]
# min_max_cpu_request_cores: [0.1, 1]
# min_max_memory_request_GB: [0.5, 3]
#
id,app_id,app_type,workload_id,replica_id,layer,cpu_request_cores,memory_request_GiB,ingress_bandwidth_request_Mbps,egress_bandwidth_request_Mbps,uptime_30d_percentage_request
app-msg-0-workload-0-replica-0,0,messaging,0,0,edge-cloud,0.3,1.8,,,
app-msg-0-workload-1-replica-0,0,messaging,1,0,edge-cloud,0.3,1.0,,,
app-msg-0-workload-2-replica-0,0,messaging,2,0,cloud,0.7,2.6,,,96
app-msg-0-workload-3-replica-0,0,messaging,3,0,edge-cloud,0.6,0.6,,,
app-msg-0-workload-4-replica-0,0,messaging,4,0,edge-cloud,0.7,2.8,,,
app-msg-0-workload-5-replica-0,0,messaging,5,0,fog,0.9,1.8,,,
app-msg-0-workload-6-replica-0,0,messaging,6,0,edge-cloud,0.2,0.7,,,
app-api-comp-1-workload-0-replica-0,1,api-composition,0,0,0,0.5,0.8,,,
app-api-comp-1-workload-1-replica-0,1,api-composition,1,0,1,0.8,2.5,,,
app-api-comp-1-workload-2-replica-0,1,api-composition,2,0,2,0.2,2.7,,,
app-api-comp-1-workload-3-replica-0,1,api-composition,3,0,0,0.7,0.9,,,99
app-api-comp-1-workload-4-replica-0,1,api-composition,4,0,1,0.9,0.8,,,
app-api-comp-1-workload-5-replica-0,1,api-composition,5,0,2,0.3,1.5,,,
app-api-comp-1-workload-6-replica-0,1,api-composition,6,0,3,0.3,2.4,,,
app-api-comp-1-workload-7-replica-0,1,api-composition,7,0,4,0.6,1.0,,,
app-api-comp-1-workload-8-replica-0,1,api-composition,8,0,5,0.3,1.8,,,
app-api-comp-1-workload-9-replica-0,1,api-composition,9,0,6,0.1,2.2,,,
app-api-comp-1-workload-10-replica-0,1,api-composition,10,0,0,0.2,2.4,,,
app-api-comp-1-workload-11-replica-0,1,api-composition,11,0,1,0.9,2.7,,,
app-api-comp-1-workload-12-replica-0,1,api-composition,12,0,2,0.2,1.6,,,
app-api-comp-2-workload-0-replica-0,2,api-composition,0,0,0,0.2,1.7,,,
app-api-comp-2-workload-1-replica-0,2,api-composition,1,0,1,0.3,2.8,,,
