hostname,layer,location,cpu_cores,single_core_score,base_single_core_score,memory_GiB,ingress_bandwidth_Mbps,egress_bandwidth_Mbps,uptime_30d_percentage,cost
0,cloud,cloud-location-0,4,1720,1000,16,5398.631342915734,1016.9195154044128,98.38618021451232,1113.4665018528876
1,cloud,cloud-location-0,32,1680,1000,128,14155.792370958994,38864.89435001742,97.29205720462085,5534.573428395366
2,cloud,cloud-location-0,16,1347,1000,32,3343.3117025596957,23550.08198636126,96.46722637879476,2850.0653337149565
3,cloud,cloud-location-0,8,1135,1000,32,6692.2488133789275,6362.961326687135,97.01823626027408,1027.2535579382802
4,cloud,cloud-location-0,4,1111,1000,16,867.8008083731143,5867.372713825485,97.12708006954524,936.1942419253534
5,cloud,cloud-location-0,4,1419,1000,16,3267.509005751915,2409.0832569459517,100.0,620.0658066355771
6,cloud,cloud-location-0,16,1778,1000,64,18517.48224480511,22329.313779542834,97.56347480738292,3734.905686565809
7,cloud,cloud-location-0,16,1110,1000,64,14386.775503449113,4564.272349747378,98.65933008914514,4063.975058966429
8,cloud,cloud-location-0,8,1659,1000,32,8300.277094940122,9292.376243070046,98.50605388314568,2044.0544256799824
9,cloud,cloud-location-0,4,1711,1000,16,1482.0901395252731,651.6690428731733,100.0,422.1525726669509
10,cloud,cloud-location-0,8,1188,1000,32,8631.866663757879,11703.601313303585,97.5681160275452,1565.160639368251
11,cloud,cloud-location-0,32,1551,1000,64,27483.477181577717,15483.31971470563,98.70984745139104,7930.254190571643
12,cloud,cloud-location-0,4,1003,1000,16,1157.0035673896225,5364.836474752159,99.80287858461811,1070.068856048246
13,cloud,cloud-location-0,8,1470,1000,16,7139.575346734669,9376.916256130007,99.8991750901055,2364.025402429569
14,cloud,cloud-location-0,8,1768,1000,32,11687.014657224474,4426.875060516721,98.92362299558046,2374.239286033141
15,cloud,cloud-location-0,32,1369,1000,64,22707.364493074765,29049.246379441567,98.61297756245531,7072.514553468367
16,cloud,cloud-location-0,8,1751,1000,16,1656.0966804688153,4636.825390324653,99.15393917550588,1177.3449940737005
17,cloud,cloud-location-0,32,1768,1000,128,44268.10385469042,36430.52440748581,97.62501077474944,8444.411379662306
18,cloud,cloud-location-0,32,1545,1000,64,22721.89147297796,35933.17785178331,99.16674491888936,3876.7834637561527
19,cloud,cloud-location-0,8,918,1000,16,,,97.66710525145864,1686.4414769384794
20,cloud,cloud-location-0,32,1192,1000,128,,,99.87195513427488,8298.936803975655
21,cloud,cloud-location-0,8,921,1000,16,,,98.51729040715026,1029.9744771411324
22,cloud,cloud-location-0,8,913,1000,16,,,97.25661803693504,945.3717335957932
23,cloud,cloud-location-0,32,1301,1000,128,,,97.68277450782736,8453.570012229764
24,cloud,cloud-location-0,8,1653,1000,16,,,98.63482380171968,807.6762036105165
25,cloud,cloud-location-0,8,1035,1000,16,,,99.76944036733748,1154.437492385642
26,cloud,cloud-location-0,32,1644,1000,128,,,97.9699754240087,7452.95535595123
27,cloud,cloud-location-0,4,1535,1000,16,,,98.59868859136284,662.5812738608396
28,cloud,cloud-location-0,32,942,1000,64,,,99.93984282059688,4624.140439704857
