pod_name    node_name
app-api-comp-0-workload-0-77dc4d6b4-4vhrk     14
app-api-comp-0-workload-0-77dc4d6b4-5kccl     7
app-api-comp-0-workload-0-77dc4d6b4-k5z9s     0
app-api-comp-0-workload-0-77dc4d6b4-m4rpr     13
app-api-comp-0-workload-0-77dc4d6b4-nnlqj     12
app-api-comp-0-workload-0-77dc4d6b4-rp9zd     10
app-api-comp-0-workload-0-77dc4d6b4-tslnr     16
app-api-comp-0-workload-0-77dc4d6b4-vrpqd     5
app-api-comp-0-workload-1-55db8ccdfb-5fjbq    0
app-api-comp-0-workload-1-55db8ccdfb-8ngqp    16
app-api-comp-0-workload-1-55db8ccdfb-9pk6k    8
app-api-comp-0-workload-1-55db8ccdfb-c2bsd    12
app-api-comp-0-workload-1-55db8ccdfb-hqsn6    17
app-api-comp-0-workload-1-55db8ccdfb-m6xvj    10
app-api-comp-0-workload-10-5dd7cbc988-9fs6s   0
app-api-comp-0-workload-10-5dd7cbc988-k4r67   16
app-api-comp-0-workload-10-5dd7cbc988-msdmv   5
app-api-comp-0-workload-10-5dd7cbc988-n5b2s   10
app-api-comp-0-workload-10-5dd7cbc988-pqvdr   12
app-api-comp-0-workload-10-5dd7cbc988-q9rd5   14
app-api-comp-0-workload-11-6cd5d5fcd4-8bmzq   0
app-api-comp-0-workload-11-6cd5d5fcd4-fg7p7   12
app-api-comp-0-workload-11-6cd5d5fcd4-nf8dw   17
app-api-comp-0-workload-11-6cd5d5fcd4-rxs96   8
app-api-comp-0-workload-11-6cd5d5fcd4-tzcbk   14
app-api-comp-0-workload-12-67f5bdc7b-5szss    15
app-api-comp-0-workload-12-67f5bdc7b-62f26    14
app-api-comp-0-workload-12-67f5bdc7b-66fj6    16
app-api-comp-0-workload-12-67f5bdc7b-b44tn    0
app-api-comp-0-workload-12-67f5bdc7b-mk748    12
app-api-comp-0-workload-13-68cf64cc96-6kb48   96
app-api-comp-0-workload-13-68cf64cc96-fc9nn   78
app-api-comp-0-workload-13-68cf64cc96-hx2bk   75
app-api-comp-0-workload-13-68cf64cc96-kfl2m   65
app-api-comp-0-workload-13-68cf64cc96-mwbr7   97
app-api-comp-0-workload-14-5bc96c8bb7-2bfhk   61
app-api-comp-0-workload-14-5bc96c8bb7-hzbhd   7
app-api-comp-0-workload-14-5bc96c8bb7-jwwsm   71
app-api-comp-0-workload-14-5bc96c8bb7-msvbd   79
app-api-comp-0-workload-14-5bc96c8bb7-tq7v9   10
app-api-comp-0-workload-15-697bd4489b-6kq8j   13
app-api-comp-0-workload-15-697bd4489b-c2c2m   18
app-api-comp-0-workload-15-697bd4489b-gmnxg   10
app-api-comp-0-workload-15-697bd4489b-z9m8f   4
app-api-comp-0-workload-16-5f64968ddf-7pmgz   90
app-api-comp-0-workload-16-5f64968ddf-9x8r5   38
app-api-comp-0-workload-16-5f64968ddf-b5kl5   34
app-api-comp-0-workload-16-5f64968ddf-g9q4v   5
app-api-comp-0-workload-16-5f64968ddf-lcxnk   19
app-api-comp-0-workload-16-5f64968ddf-ntmsv   6
app-api-comp-0-workload-16-5f64968ddf-w9j9z   22
app-api-comp-0-workload-17-689747ffd6-9gzqd   0
app-api-comp-0-workload-17-689747ffd6-bqg5d   12
app-api-comp-0-workload-17-689747ffd6-g2xsz   13
app-api-comp-0-workload-17-689747ffd6-gw4w2   5
app-api-comp-0-workload-17-689747ffd6-lmgtw   10
app-api-comp-0-workload-17-689747ffd6-qsdm7   14
app-api-comp-0-workload-17-689747ffd6-wsjsj   16
app-api-comp-0-workload-18-788d74d55c-79b9d   12
app-api-comp-0-workload-18-788d74d55c-bwgnt   17
app-api-comp-0-workload-18-788d74d55c-lp8qq   14
app-api-comp-0-workload-18-788d74d55c-xc7tl   13
