pod_name    node_name
app-api-comp-0-workload-0-7d5ffd4747-62clr     194
app-api-comp-0-workload-0-7d5ffd4747-8fnq5     175
app-api-comp-0-workload-0-7d5ffd4747-8x5d2     276
app-api-comp-0-workload-0-7d5ffd4747-g7vqs     159
app-api-comp-0-workload-0-7d5ffd4747-grmlz     265
app-api-comp-0-workload-0-7d5ffd4747-ldh4z     214
app-api-comp-0-workload-0-7d5ffd4747-q75lk     155
app-api-comp-0-workload-0-7d5ffd4747-rf27q     210
app-api-comp-0-workload-0-7d5ffd4747-sccrr     144
app-api-comp-0-workload-0-7d5ffd4747-xjwtk     198
app-api-comp-0-workload-1-6c59f4d5bd-7hbp8     221
app-api-comp-0-workload-1-6c59f4d5bd-7npcb     191
app-api-comp-0-workload-1-6c59f4d5bd-9lsxv     274
app-api-comp-0-workload-1-6c59f4d5bd-bt52v     269
app-api-comp-0-workload-1-6c59f4d5bd-lz8fd     155
app-api-comp-0-workload-1-6c59f4d5bd-nsjs7     293
app-api-comp-0-workload-1-6c59f4d5bd-sk27r     226
app-api-comp-0-workload-1-6c59f4d5bd-vffh4     175
app-api-comp-0-workload-10-cc69d5595-4kc6k     260
app-api-comp-0-workload-10-cc69d5595-8jvqr     161
app-api-comp-0-workload-10-cc69d5595-c2lcf     272
app-api-comp-0-workload-10-cc69d5595-cps8k     227
app-api-comp-0-workload-10-cc69d5595-cwn2m     204
app-api-comp-0-workload-10-cc69d5595-dbgv5     244
app-api-comp-0-workload-10-cc69d5595-dwk75     285
app-api-comp-0-workload-10-cc69d5595-gght6     150
app-api-comp-0-workload-10-cc69d5595-l7qzl     189
app-api-comp-0-workload-10-cc69d5595-mrnp8     234
app-api-comp-0-workload-10-cc69d5595-qhmdl     173
app-api-comp-0-workload-11-6f4469cdb4-4gzh6    <none>
app-api-comp-0-workload-11-6f4469cdb4-6cck9    <none>
app-api-comp-0-workload-11-6f4469cdb4-fffth    <none>
app-api-comp-0-workload-11-6f4469cdb4-flm4r    <none>
app-api-comp-0-workload-11-6f4469cdb4-mthrf    <none>
app-api-comp-0-workload-11-6f4469cdb4-xzt62    <none>
app-api-comp-0-workload-12-8477764bfb-2h6js    231
app-api-comp-0-workload-12-8477764bfb-7lg7w    233
app-api-comp-0-workload-12-8477764bfb-crxlv    279
app-api-comp-0-workload-12-8477764bfb-fc574    251
app-api-comp-0-workload-12-8477764bfb-m4fdc    35
app-api-comp-0-workload-12-8477764bfb-rqzx4    56
app-api-comp-0-workload-12-8477764bfb-t4l9q    239
app-api-comp-0-workload-13-6c79449dcb-4c95k    <none>
app-api-comp-0-workload-13-6c79449dcb-5n56t    <none>
app-api-comp-0-workload-13-6c79449dcb-5qvhk    <none>
app-api-comp-0-workload-13-6c79449dcb-98n5k    <none>
app-api-comp-0-workload-13-6c79449dcb-f6752    <none>
app-api-comp-0-workload-13-6c79449dcb-g4fqp    <none>
app-api-comp-0-workload-13-6c79449dcb-sgw8x    <none>
app-api-comp-0-workload-13-6c79449dcb-tcb5p    <none>
app-api-comp-0-workload-14-795d6b66bf-296nk    155
app-api-comp-0-workload-14-795d6b66bf-2n72m    224
app-api-comp-0-workload-14-795d6b66bf-2thqj    142
app-api-comp-0-workload-14-795d6b66bf-9pv8v    242
app-api-comp-0-workload-14-795d6b66bf-sqz6q    214
app-api-comp-0-workload-14-795d6b66bf-x89gh    200
app-api-comp-0-workload-15-596bd5c595-6rk6l    137
app-api-comp-0-workload-15-596bd5c595-6svdj    258
app-api-comp-0-workload-15-596bd5c595-p2m45    213
app-api-comp-0-workload-15-596bd5c595-vhmtw    295
app-api-comp-0-workload-15-596bd5c595-wgd52    136
app-api-comp-0-workload-15-596bd5c595-x9g95    183
app-api-comp-0-workload-15-596bd5c595-xjffq    144
app-api-comp-0-workload-15-596bd5c595-z6l9s    156
app-api-comp-0-workload-16-766fbcfdbc-4tdnh    <none>
app-api-comp-0-workload-16-766fbcfdbc-8hxvg    <none>
app-api-comp-0-workload-16-766fbcfdbc-bmwrr    <none>
app-api-comp-0-workload-16-766fbcfdbc-dgkmq    <none>
app-api-comp-0-workload-16-766fbcfdbc-dr82z    <none>
app-api-comp-0-workload-16-766fbcfdbc-zgmgw    <none>
app-api-comp-0-workload-17-df868f4c-4mhq7      287
app-api-comp-0-workload-17-df868f4c-8xgnm      174
app-api-comp-0-workload-17-df868f4c-dl8zb      274
app-api-comp-0-workload-17-df868f4c-fs552      207
app-api-comp-0-workload-17-df868f4c-kl4gc      169
app-api-comp-0-workload-17-df868f4c-ldk8g      281
