pod_name    node_name
app-api-comp-0-workload-0-6869d56ddf-45f4v     89
app-api-comp-0-workload-0-6869d56ddf-5f5cs     95
app-api-comp-0-workload-0-6869d56ddf-6wnts     94
app-api-comp-0-workload-0-6869d56ddf-75sbm     175
app-api-comp-0-workload-0-6869d56ddf-82nw4     121
app-api-comp-0-workload-0-6869d56ddf-brh9w     30
app-api-comp-0-workload-0-6869d56ddf-d9w6m     58
app-api-comp-0-workload-0-6869d56ddf-djn2b     38
app-api-comp-0-workload-0-6869d56ddf-fppfl     162
app-api-comp-0-workload-0-6869d56ddf-gxnc2     74
app-api-comp-0-workload-0-6869d56ddf-l4tps     23
app-api-comp-0-workload-0-6869d56ddf-lwkhx     128
app-api-comp-0-workload-0-6869d56ddf-mfg7c     87
app-api-comp-0-workload-0-6869d56ddf-nxkfq     47
app-api-comp-0-workload-0-6869d56ddf-p5nbp     43
app-api-comp-0-workload-0-6869d56ddf-pqkvg     164
app-api-comp-0-workload-0-6869d56ddf-qqmjq     154
app-api-comp-0-workload-0-6869d56ddf-sg8qd     160
app-api-comp-0-workload-0-6869d56ddf-stchb     139
app-api-comp-0-workload-0-6869d56ddf-wjrnv     134
app-api-comp-0-workload-0-6869d56ddf-zjpqb     146
app-api-comp-0-workload-1-68cb56c57b-6dvcl     71
app-api-comp-0-workload-1-68cb56c57b-88shr     164
app-api-comp-0-workload-1-68cb56c57b-cmml8     1
app-api-comp-0-workload-1-68cb56c57b-gbt5n     119
app-api-comp-0-workload-1-68cb56c57b-gmdvc     34
app-api-comp-0-workload-1-68cb56c57b-hljw6     81
app-api-comp-0-workload-1-68cb56c57b-lzg5t     168
app-api-comp-0-workload-1-68cb56c57b-m9qj8     153
app-api-comp-0-workload-1-68cb56c57b-shp95     30
app-api-comp-0-workload-1-68cb56c57b-t8zj9     103
app-api-comp-0-workload-1-68cb56c57b-tvx5v     39
app-api-comp-0-workload-1-68cb56c57b-vhkzr     101
app-api-comp-0-workload-10-67775fd746-4lkwl    87
app-api-comp-0-workload-10-67775fd746-5q7vw    137
app-api-comp-0-workload-10-67775fd746-5v47k    167
app-api-comp-0-workload-10-67775fd746-6f6fd    16
app-api-comp-0-workload-10-67775fd746-8kmqj    74
app-api-comp-0-workload-10-67775fd746-dhr2v    156
app-api-comp-0-workload-10-67775fd746-dnjk9    61
app-api-comp-0-workload-10-67775fd746-f8h82    50
app-api-comp-0-workload-10-67775fd746-fjb4d    55
app-api-comp-0-workload-10-67775fd746-k699g    73
app-api-comp-0-workload-10-67775fd746-ml4gx    39
app-api-comp-0-workload-10-67775fd746-n27xx    3
app-api-comp-0-workload-10-67775fd746-pjmg6    29
app-api-comp-0-workload-10-67775fd746-ptcxj    139
app-api-comp-0-workload-10-67775fd746-qllcw    24
app-api-comp-0-workload-10-67775fd746-rfpkh    160
app-api-comp-0-workload-10-67775fd746-sfckh    93
app-api-comp-0-workload-10-67775fd746-v9krc    148
app-api-comp-0-workload-10-67775fd746-vmqwq    104
app-api-comp-0-workload-10-67775fd746-z6q4c    113
app-api-comp-0-workload-10-67775fd746-zffqh    59
app-api-comp-0-workload-10-67775fd746-zmbcp    100
app-api-comp-0-workload-10-67775fd746-znpv8    81
app-api-comp-0-workload-11-7466dc5fff-2696f    26
app-api-comp-0-workload-11-7466dc5fff-2x866    26
app-api-comp-0-workload-11-7466dc5fff-7l64k    26
app-api-comp-0-workload-11-7466dc5fff-8xbvm    26
app-api-comp-0-workload-11-7466dc5fff-gpstf    26
app-api-comp-0-workload-11-7466dc5fff-hhsbz    26
app-api-comp-0-workload-11-7466dc5fff-txsr4    26
app-api-comp-0-workload-11-7466dc5fff-xxrzr    26
app-api-comp-0-workload-12-59d999dc88-6g4xg    26
app-api-comp-0-workload-12-59d999dc88-6z84w    26
app-api-comp-0-workload-12-59d999dc88-bgd62    26
app-api-comp-0-workload-12-59d999dc88-cvk6h    26
app-api-comp-0-workload-12-59d999dc88-f57gp    26
app-api-comp-0-workload-12-59d999dc88-gwcgv    26
app-api-comp-0-workload-12-59d999dc88-h5ljg    26
app-api-comp-0-workload-12-59d999dc88-kpkwk    26
app-api-comp-0-workload-12-59d999dc88-mrkm9    26
app-api-comp-0-workload-12-59d999dc88-nj7v4    26
app-api-comp-0-workload-12-59d999dc88-pqpcg    26
app-api-comp-0-workload-12-59d999dc88-q4rh6    26
app-api-comp-0-workload-12-59d999dc88-qcr55    26
app-api-comp-0-workload-12-59d999dc88-rc5j7    26
app-api-comp-0-workload-12-59d999dc88-rcs4m    26
app-api-comp-0-workload-12-59d999dc88-rlckh    26
app-api-comp-0-workload-12-59d999dc88-tfk9m    26
app-api-comp-0-workload-12-59d999dc88-vw74z    26
app-api-comp-0-workload-12-59d999dc88-xl5jc    26
app-api-comp-0-workload-13-6f7c89f457-42bzj    145
app-api-comp-0-workload-13-6f7c89f457-4wtvm    110
app-api-comp-0-workload-13-6f7c89f457-6cw6r    83
app-api-comp-0-workload-13-6f7c89f457-6kgdj    78
app-api-comp-0-workload-13-6f7c89f457-7zfl2    1
app-api-comp-0-workload-13-6f7c89f457-9jzxw    87
app-api-comp-0-workload-13-6f7c89f457-bcg2k    10
app-api-comp-0-workload-13-6f7c89f457-bhwq6    150
app-api-comp-0-workload-13-6f7c89f457-bk555    52
app-api-comp-0-workload-13-6f7c89f457-brxkb    151
app-api-comp-0-workload-13-6f7c89f457-btdzs    90
app-api-comp-0-workload-13-6f7c89f457-bzpjm    31
app-api-comp-0-workload-13-6f7c89f457-cttdt    113
app-api-comp-0-workload-13-6f7c89f457-hcbxl    76
app-api-comp-0-workload-13-6f7c89f457-hjg6n    155
app-api-comp-0-workload-13-6f7c89f457-jz469    53
app-api-comp-0-workload-13-6f7c89f457-kkq9g    19
app-api-comp-0-workload-13-6f7c89f457-m7jx8    2
app-api-comp-0-workload-13-6f7c89f457-mfmnt    30
app-api-comp-0-workload-13-6f7c89f457-ncmfg    156
app-api-comp-0-workload-13-6f7c89f457-rxhnz    122
app-api-comp-0-workload-13-6f7c89f457-rz8hj    0
app-api-comp-0-workload-13-6f7c89f457-sg7sf    105
app-api-comp-0-workload-13-6f7c89f457-ssxnx    118
app-api-comp-0-workload-13-6f7c89f457-t7tqh    93
app-api-comp-0-workload-13-6f7c89f457-vfdzb    22
app-api-comp-0-workload-13-6f7c89f457-vkwcf    136
app-api-comp-0-workload-13-6f7c89f457-w4vsd    46
app-api-comp-0-workload-13-6f7c89f457-zdf9d    26
app-api-comp-0-workload-14-75dffb5646-6qpxs    108
app-api-comp-0-workload-14-75dffb5646-9ljwc    173
app-api-comp-0-workload-14-75dffb5646-dc9w5    93
app-api-comp-0-workload-14-75dffb5646-g2q9s    112
app-api-comp-0-workload-14-75dffb5646-j8n9f    119
app-api-comp-0-workload-14-75dffb5646-pxbdm    116
app-api-comp-0-workload-14-75dffb5646-pzfn9    135
app-api-comp-0-workload-14-75dffb5646-qhbrp    164
app-api-comp-0-workload-14-75dffb5646-st28r    104
app-api-comp-0-workload-14-75dffb5646-vg9q5    137
app-api-comp-0-workload-15-8565b9897c-2g7gw    97
app-api-comp-0-workload-15-8565b9897c-4c9qj    81
app-api-comp-0-workload-15-8565b9897c-7b7vq    87
app-api-comp-0-workload-15-8565b9897c-7lb26    156
app-api-comp-0-workload-15-8565b9897c-8k4pf    160
app-api-comp-0-workload-15-8565b9897c-b6f6k    21
app-api-comp-0-workload-15-8565b9897c-bwxnx    90
app-api-comp-0-workload-15-8565b9897c-czcq7    145
app-api-comp-0-workload-15-8565b9897c-d725j    100
app-api-comp-0-workload-15-8565b9897c-dk558    113
app-api-comp-0-workload-15-8565b9897c-fsbd4    126
app-api-comp-0-workload-15-8565b9897c-glxc9    125
app-api-comp-0-workload-15-8565b9897c-gnhbj    146
app-api-comp-0-workload-15-8565b9897c-jmmf2    139
app-api-comp-0-workload-15-8565b9897c-kwsjg    167
app-api-comp-0-workload-15-8565b9897c-lkx4l    177
app-api-comp-0-workload-15-8565b9897c-mmhkp    148
app-api-comp-0-workload-15-8565b9897c-ngfbb    141
app-api-comp-0-workload-15-8565b9897c-q8zjd    137
app-api-comp-0-workload-15-8565b9897c-qgrbh    169
app-api-comp-0-workload-15-8565b9897c-qzdmd    50
app-api-comp-0-workload-15-8565b9897c-sbffv    142
app-api-comp-0-workload-15-8565b9897c-t2lnr    95
app-api-comp-0-workload-15-8565b9897c-vfsxd    119
app-api-comp-0-workload-15-8565b9897c-vpz97    31
app-api-comp-0-workload-15-8565b9897c-wf5p9    151
app-api-comp-0-workload-15-8565b9897c-xmlxs    134
app-api-comp-0-workload-16-769895fd44-68kkm    104
app-api-comp-0-workload-16-769895fd44-854v7    79
app-api-comp-0-workload-16-769895fd44-974t6    88
app-api-comp-0-workload-16-769895fd44-cff22    128
app-api-comp-0-workload-16-769895fd44-drdhd    162
app-api-comp-0-workload-16-769895fd44-kdtn4    112
app-api-comp-0-workload-16-769895fd44-kqbwq    13
app-api-comp-0-workload-16-769895fd44-lfzhj    117
app-api-comp-0-workload-16-769895fd44-m7rr8    153
app-api-comp-0-workload-16-769895fd44-qhn24    1
app-api-comp-0-workload-16-769895fd44-qt446    139
app-api-comp-0-workload-16-769895fd44-r8rms    114
app-api-comp-0-workload-16-769895fd44-s866c    80
app-api-comp-0-workload-16-769895fd44-sbkvw    9
app-api-comp-0-workload-16-769895fd44-wphfm    77
app-api-comp-0-workload-2-64f76ffc5c-2wx8c     158
app-api-comp-0-workload-2-64f76ffc5c-5sjzc     81
app-api-comp-0-workload-2-64f76ffc5c-78k6f     50
app-api-comp-0-workload-2-64f76ffc5c-bmdgp     125
app-api-comp-0-workload-2-64f76ffc5c-bwf84     160
app-api-comp-0-workload-2-64f76ffc5c-gcswf     76
app-api-comp-0-workload-2-64f76ffc5c-gd6zq     74
app-api-comp-0-workload-2-64f76ffc5c-gd8px     120
app-api-comp-0-workload-2-64f76ffc5c-ghkv2     71
app-api-comp-0-workload-2-64f76ffc5c-gnxfm     34
app-api-comp-0-workload-2-64f76ffc5c-gptkm     146
app-api-comp-0-workload-2-64f76ffc5c-jx8gg     90
app-api-comp-0-workload-2-64f76ffc5c-l46mt     95
app-api-comp-0-workload-2-64f76ffc5c-lbfwl     148
app-api-comp-0-workload-2-64f76ffc5c-p2whf     134
app-api-comp-0-workload-2-64f76ffc5c-pfc4s     104
app-api-comp-0-workload-2-64f76ffc5c-ssn82     89
app-api-comp-0-workload-2-64f76ffc5c-tdzwg     93
app-api-comp-0-workload-2-64f76ffc5c-ttp89     109
app-api-comp-0-workload-2-64f76ffc5c-vspgr     55
app-api-comp-0-workload-2-64f76ffc5c-w9rq4     30
app-api-comp-0-workload-2-64f76ffc5c-x6lhg     61
app-api-comp-0-workload-2-64f76ffc5c-zhczm     100
app-api-comp-0-workload-3-5995d48b8d-24c6k     1
app-api-comp-0-workload-3-5995d48b8d-5rcxb     6
app-api-comp-0-workload-3-5995d48b8d-c9bfn     76
app-api-comp-0-workload-3-5995d48b8d-cb4nn     50
app-api-comp-0-workload-3-5995d48b8d-hhwl9     22
app-api-comp-0-workload-3-5995d48b8d-kqx8p     113
app-api-comp-0-workload-3-5995d48b8d-n72ql     55
app-api-comp-0-workload-4-7d88767b6d-2shv6     63
app-api-comp-0-workload-4-7d88767b6d-66nnx     95
app-api-comp-0-workload-4-7d88767b6d-7djkt     78
app-api-comp-0-workload-4-7d88767b6d-9vcdk     29
app-api-comp-0-workload-4-7d88767b6d-cc4zq     127
app-api-comp-0-workload-4-7d88767b6d-gmh2t     120
app-api-comp-0-workload-4-7d88767b6d-j9bnf     103
app-api-comp-0-workload-4-7d88767b6d-jcmd8     55
app-api-comp-0-workload-4-7d88767b6d-k4bxd     132
app-api-comp-0-workload-4-7d88767b6d-m967d     12
app-api-comp-0-workload-4-7d88767b6d-mtghw     38
